,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,vintage
0,US,"Another great example of Drake Whitcraft managing to shoot low on ripeness and yet deliver a wide array of flavors, this clonal selection is very light in the glass and shows aromas of piquant raspberry, sagebrush and candied red fruit. The palate is zesty yet full, with more raspberry and lifting tarragon flavors, proving rather refreshing.",Pommard Clone Pence Ranch,94,65.0,California,Sta. Rita Hills,Central Coast,Matt Kettmann,@mattkettmann,Whitcraft 2016 Pommard Clone Pence Ranch Pinot Noir (Sta. Rita Hills),Pinot Noir,Whitcraft,2013
1,US,"Lovely aromas of candied red cherry and pomegranate are enhanced by mace, allspice and wild forest scents in this stunning wine that effortlessly blends fruit, spice and earth. The palate shows black cherry, but then focuses on fresher hibiscus and carnation flavors spiced by dark nutmeg, clove and wild mint. A chalky texture and balanced acidity complete the picture.",Solomon Hills Vineyard,94,115.0,California,Santa Maria Valley,Central Coast,Matt Kettmann,@mattkettmann,Tolosa 2016 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Tolosa,2013
2,US,"Dense aromas of black cherry, lilacs and spice cake show on the hearty nose of this bottling from a vineyard in the Watsonville area. Polished tannins provide grip without being sticky, delivering flavors of alpine strawberry, black raspberry, lavender and sagebrush. It is extremely cohesive with fiery acidity.",Regan Vineyard Partners' Reserve,94,50.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Soquel Vineyards 2016 Regan Vineyard Partners' Reserve Pinot Noir (Santa Cruz Mountains),Pinot Noir,Soquel Vineyards,2013
3,US,"Very rich aromas of black cherry pudding, vanilla paste and caramel are lifted by rose petals and purple flowers on the nose of this estate-grown bottling. The palate is framed by strong tannins and bright acidity, showing flavors of black pepper, black plum skins and more lilac-like florality.",Partners' Reserve Estate Grown,93,40.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Soquel Vineyards 2016 Partners' Reserve Estate Grown Pinot Noir (Santa Cruz Mountains),Pinot Noir,Soquel Vineyards,2013
4,US,"There's a compelling convergence of cinnamon, crushed mace and cola spice on the nose of this bottling, along with light red-fruit aromas of baked strawberry and rustic cranberry. The bright acidity pops on the palate, then settles into the background to allow flavors of crushed cranberry and pomegranate to mesh with nutmeg and allspice on the palate.",Lester Family Vineyard Partners' Reserve,93,40.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Soquel Vineyards 2016 Lester Family Vineyard Partners' Reserve Pinot Noir (Santa Cruz Mountains),Pinot Noir,Soquel Vineyards,2013
5,US,"This appellation blend is a steal for the price, carrying much of the regional typicity expressed in the winery's single-vineyard bottlings. Zesty aromas of raspberry, hibiscus and a touch of caramel flow seamlessly into an energetic and fresh palate loaded with flavors of raspberry, anise, white pepper and fennel fronds.",Partners' Reserve,93,30.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Soquel Vineyards 2016 Partners' Reserve Pinot Noir (Santa Cruz Mountains),Pinot Noir,Soquel Vineyards,2013
6,US,"This bottling is still quite young, which explains why it simply gets more interesting the longer that it's open. Aromas of red cherry, vanilla, rose petal and baking spice drop into a palate full of hibiscus, potpourri, lavender and Earl Grey tea flavors, which all grow more complementary and delicious with time.",Coast Grade Vineyard Partners' Reserve,92,50.0,California,Ben Lomond Mountain,Central Coast,Matt Kettmann,@mattkettmann,Soquel Vineyards 2016 Coast Grade Vineyard Partners' Reserve Pinot Noir (Ben Lomond Mountain),Pinot Noir,Soquel Vineyards,2013
7,Italy,"This luminous sparkler has enticing scents of bread crust and wild berry. On the vibrant palate, fresh acidity and a lively, elegant perlage underscore white cherry, pomegranate, nectarine zest and a hint of graphite.",Leonia Rosé Metodo Classico,92,,Tuscany,Pomino,,Kerin O’Keefe,@kerinokeefe,Marchesi de' Frescobaldi 2013 Leonia Rosé Metodo Classico Pinot Nero (Pomino),Pinot Nero,Marchesi de' Frescobaldi,2013
8,US,"Clean aromas of dark red fruit, black plum, turned earth and crushed slate made for a heady nose on this estate bottling. Those earthy tones extend to the palate, where blackberry, clove and vanilla flavors are framed by a chalky texture and fresh acidity.",1772 Edna Ranch,92,65.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Tolosa 2016 1772 Edna Ranch Pinot Noir (Edna Valley),Pinot Noir,Tolosa,2013
9,US,"Raspberry syrup, crushed slate, damp forest floor, wet gravel and fresh hibiscus make for a pleasing nose on this single-vineyard expression. Rounded red fruit, carnation and moist soil flavors ride a gravelly structure on the palate.",Gali Vineyard Partners' Reserve,92,40.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Soquel Vineyards 2016 Gali Vineyard Partners' Reserve Pinot Noir (Santa Cruz Mountains),Pinot Noir,Soquel Vineyards,2013
